lambda [Angstrom],atmospheric_emission [arbitrary flux units]
5241.7134,0.12288509
5244.0176,0.120116614
5246.3223,0.12017507
5248.6284,0.12123877
5250.9355,0.120262235
5253.2437,0.1191094
5255.5527,0.13503976
5257.863,0.1353033
5260.174,0.12326942
5262.486,0.10896339
5264.799,0.10206949
5267.113,0.106210776
5269.428,0.104291484
5271.744,0.11332704
5274.0615,0.11901703
5276.38,0.12669584
5278.6987,0.12324111
5281.019,0.11658785
5283.3403,0.1121288
5285.6626,0.12349788
5287.986,0.12303992
5290.31,0.12592374
5292.6357,0.12521584
5294.962,0.12249982
5297.2896,0.116229564
5299.6177,0.12385544
5301.9473,0.12123117
5304.278,0.1244886
5306.609,0.124568254
5308.9414,0.12372019
5311.275,0.1282897
5313.61,0.12756476
5315.9453,0.11931583
5318.2817,0.12356666
5320.6196,0.12400325
5322.958,0.120568655
5325.298,0.11828721
5327.6387,0.10556364
5329.9805,0.12039003
5332.323,0.12402778
5334.667,0.121170774
5337.0117,0.12129984
5339.3574,0.11661806
5341.7046,0.11815964
5344.0522,0.12136381
5346.4014,0.11743536
5348.7515,0.12553449
5351.1025,0.12313969
5353.4546,0.11938084
5355.8076,0.13132827
5358.1616,0.12233576
5360.5166,0.116468735
5362.873,0.11073358
5365.23,0.11016619
5367.5884,0.11356981
5369.9478,0.106239155
5372.308,0.1090643
5374.6694,0.12272076
5377.0317,0.11872951
5379.3955,0.115150526
5381.76,0.111589305
5384.1255,0.11284297
5386.492,0.11689101
5388.8594,0.1133726
5391.228,0.1182032
5393.598,0.11390403
5395.9688,0.11000977
5398.3403,0.108012885
5400.7134,0.11138871
5403.087,0.10817904
5405.462,0.1017994
5407.838,0.110892765
5410.215,0.10843594
5412.593,0.11179631
5414.972,0.11377353
5417.352,0.11857508
5419.7334,0.11629768
5422.1157,0.11407917
5424.499,0.11350156
5426.8833,0.11822831
5429.2686,0.111045614
5431.655,0.116300166
5434.0425,0.11424995
5436.431,0.11575136
5438.8203,0.12281815
5441.211,0.122448705
5443.6025,0.12038976
5445.9956,0.116818175
5448.389,0.11827277
5450.784,0.12539518
5453.1797,0.12040075
5455.5767,0.11461454
5457.9746,0.167806
5460.374,0.413856
5462.774,0.2566927
5465.1753,0.14332414
5467.577,0.1312864
5469.9805,0.12942804
5472.385,0.1250108
5474.79,0.121316046
5477.197,0.114741854
5479.604,0.12452304
5482.0127,0.13346365
5484.4224,0.13551642
5486.833,0.12369103
5489.2446,0.12083444
5491.657,0.123851106
5494.0713,0.12067961
5496.4863,0.12321133
5498.902,0.12644824
5501.319,0.12348166
5503.7373,0.12211766
5506.1562,0.122349486
5508.5767,0.124331996
5510.9976,0.12425129
5513.42,0.12979665
5515.8438,0.12788107
5518.268,0.12850969
5520.6934,0.13640225
5523.12,0.12540245
5525.548,0.12686366
5527.9766,0.117976926
5530.4062,0.121413596
5532.8374,0.12166212
5535.269,0.118585624
5537.702,0.121314615
5540.136,0.12663749
5542.5713,0.13622275
5545.0073,0.13451877
5547.445,0.12407455
5549.8833,0.12591241
5552.3228,0.1205941
5554.763,0.11849866
5557.2046,0.119553745
5559.6475,0.117887415
5562.091,0.12629512
5564.5356,0.1367251
5566.982,0.11668744
5569.4287,0.120336324
5571.8765,0.12057405
5574.3257,0.42585167
5576.776,4.7594934
5579.227,1.7550352
5581.6797,0.14674638
5584.133,0.113168605
5586.5874,0.1100278
5589.043,0.12519397
5591.4995,0.11476497
5593.9575,0.10785966
5596.416,0.11714849
5598.876,0.116630614
5601.337,0.109444655
5603.799,0.12971713
5606.262,0.13584006
5608.7266,0.11783768
5611.1914,0.1156487
5613.658,0.11245682
5616.1255,0.11245912
5618.594,0.116542816
5621.0635,0.11703046
